Id,y
50100,1.842377217456693
50101,1.8424060459590612
50102,1.8468448941776976
50103,1.8424060417131798
50104,1.88900775249114
50105,1.8518059074662825
50106,1.8528824340956263
50107,2.081005876329413
50108,1.8772248649902277
50109,1.9066720777554362
50110,1.8423436859069302
50111,1.8586804958646486
50112,1.753037413704675
50113,1.8393606213369762
50114,1.905904652859563
50115,1.8425615020097657
50116,1.8414796430939164
50117,1.8337958658168096
50118,1.8424884251052946
50119,1.8153228613439385
50120,1.842405956937203
50121,1.858309674218276
50122,1.8392127703796228
50123,2.047910864091917
50124,1.839344184788764
50125,1.7633555351512133
50126,1.850000726408992
50127,1.8424060080959608
50128,1.9410028532554051
50129,1.8436298347797473
50130,1.842413668371058
50131,1.8656644927805828
50132,1.6417732930806517
50133,1.926832813788972
50134,1.9982101387269364
50135,1.842439560366927
50136,1.6678661294557118
50137,1.81417066348571
50138,1.8421621870065816
50139,1.8744895274371505
50140,1.7985333904762606
50141,1.8424948332991447
50142,1.8420692084702783
50143,1.8446830228991768
50144,1.8335320572619431
50145,1.9476692989353774
50146,1.8984321281307814
50147,1.8634471309191287
50148,1.8882915852288247
50149,1.81681690880742
50150,1.8453895453513658
50151,1.842406045958633
50152,1.7121258091141376
50153,1.9141394453600535
50154,1.8423430427230567
50155,1.842406045958633
50156,1.9570083897656787
50157,1.8366691519221525
50158,1.7615584325261573
50159,1.4839713293924974
50160,1.7770785020594393
50161,1.8424624018930043
50162,1.9264386918301626
50163,1.9550498850396663
50164,1.843208830663356
50165,1.841796120561397
50166,1.8321169927891823
50167,1.8228365399295068
50168,1.8025178676780798
50169,1.842406045069826
50170,1.8427587997662156
50171,2.01282951628885
50172,1.9110645817329805
50173,1.8617918381309195
50174,1.853054373558527
50175,1.8424060459586316
50176,1.842406045958633
50177,1.8685807088699935
50178,1.8454775305210274
50179,1.856441606061845
50180,1.8431237493223112
50181,1.8428593387943841
50182,1.9517781837128294
50183,1.756128980057446
50184,1.859219938961048
50185,1.8423471010971906
50186,1.842406045958633
50187,1.9362164704404834
50188,1.8451611039774538
50189,1.842958248267185
50190,1.8424060458699814
50191,1.8424060459586344
50192,1.8424060460709462
50193,1.8425512975510854
50194,1.84240605351214
50195,1.3998809586074916
50196,1.877419785416345
50197,1.8424038242967729
50198,1.8602268875101207
50199,1.9884497079533874
50200,1.8412127605357445
50201,1.8504574036801122
50202,1.8423924393041726
50203,1.7457287219352784
50204,1.842405934699085
50205,1.8420414492590043
50206,1.936089764604439
50207,1.8425042540472585
50208,1.8424039809068775
50209,1.842406045958633
50210,1.8407563764978563
50211,1.8424058984029825
50212,1.8434522341648107
50213,1.9191622496849383
50214,1.8702572433248665
50215,1.9245634219120138
50216,1.8424009349926673
50217,1.6372916478715638
50218,1.8544885534082314
50219,2.0711164918025795
50220,1.842406045958633
50221,1.8489792346010978
50222,1.9359769471630115
50223,1.9017822452711857
50224,1.842406045958633
50225,1.8424060685942605
50226,1.8518867529252299
50227,1.9874928967721068
50228,1.8428390289291412
50229,1.842406045958633
50230,1.8443071571333853
50231,1.842406045958633
